"Model","all","confidence_weighting","most_spiked_location","most_spiked_patch","top_percent"
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.1_30000_1_True_0.75",76.34,75.5,74.68,75.6,74.25
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.2_30000_1_True_0.75",76.3,76.57,75.23,76.21,75.34
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.75_0.125_30000_3_True_0.75",76.29,76.44,73.8,76.69,76.09
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.05_30000_1_True_0.75",76.25,75.84,74.91,76.16,75.13
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_5.0_0.75_30000_3_True_0.75",76.2,76.58,74.32,75.46,75.1
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.0_30000_3_True_0.75",76.2,76.73,75.69,75.83,75.18
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.0_30000_2_True_0.75",76.14,75.93,75.86,76.23,74.6
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.1_30000_1_True_0.75",76.12,76.16,74.34,76.17,75.67
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.05_30000_3_True_0.75",76.1,77.12,74.05,75.49,73.6
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.2_30000_2_True_0.75",76.1,76.41,73.34,75.49,75.04
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.05_30000_3_True_0.75",76.09,76.36,74.85,76.02,75.9
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_3.0_0.15_30000_1_True_0.75",76.08,76.49,75.6,75.56,75.05
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.5_0.15_30000_1_True_0.75",76.08,76.05,74.57,75.74,74.53
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.15_30000_1_True_0.75",76.03,76.28,73.83,76.56,76.49
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.5_30000_1_True_0.75",76.02,76.25,75.11,76.27,75.71
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.2_30000_1_True_0.75",75.98,76.48,73.83,75.42,74.81
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_3.0_0.075_30000_2_True_0.75",75.88,77.02,73.3,75.61,75.15
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.5_30000_3_True_0.75",75.88,76.03,73.92,75.7,74.18
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.0_30000_3_True_0.75",75.87,76.2,75.71,75.86,74.92
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.15_30000_2_True_0.75",75.84,75.63,74.22,75.2,74.72
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.25_30000_1_True_0.75",75.75,76.21,73.5,75.42,74.25
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.05_30000_1_True_0.75",75.48,75.22,75.96,75.13,74.14
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.1_30000_1_True_0.75",75.42,75.7,73.55,75.26,74.29
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.1_30000_1_True_0.75",75.42,75.44,72.4,74.55,73.8
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.05_30000_1_True_0.75",75.41,76,72.9,74.8,73.68
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.2_30000_1_True_0.75",75.39,74.82,74.96,75.88,74.94
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.15_30000_1_True_0.75",75.32,75.79,73.16,74.86,74.61
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.05_30000_2_True_0.75",75.24,75.9,73.98,75.89,75.25
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.75_0.125_30000_2_True_0.75",75.23,75.31,72.43,75.07,75.12
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.05_30000_2_True_0.75",75.22,75.86,72.92,75.02,74.46
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.1_30000_2_True_0.75",75.22,74.8,73.89,75.77,75.08
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.125_30000_1_True_0.75",75.14,76.06,73.43,74.85,74.16
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.5_0.15_30000_3_True_0.75",75.12,75.36,72.01,74.56,74.1
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.1_30000_1_True_0.75",75.1,75.84,72.23,73.81,73.07
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.75_0.1_30000_2_True_0.75",75.02,74.99,74.55,75.32,74.82
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.15_30000_1_True_0.75",74.93,75.64,72.89,74.02,73.96
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_3.0_0.075_30000_3_True_0.75",74.91,74.95,74.2,74.74,73.92
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_3.0_0.125_30000_2_True_0.75",74.9,74.85,72.22,73.21,72.08
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.75_0.1_30000_3_True_0.75",74.89,74.27,74.97,75.37,74.45
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.25_30000_1_True_0.75",74.89,75.09,73.68,74.74,74.32
